Time,Influnent COD,Influnent SO42-,Methane at location 4,O2 at location 4,Ph at location 5,ORP at location 6,V at location 7
day1 00:00,211.4347816,31.40776,1.894984464,0.225835879,7.181745796,-365.9934925,0.261736699
day1 00:05,,,0.47051051,0.226577519,6.774085502,-370.8237213,0.267291377
day1 00:10,,,1.645598542,0.214337224,7.033821908,-377.1487079,0.261362988
day1 00:15,,,2.108129437,0.234280138,6.90717711,-367.2714965,0.26480713
day1 00:20,,,1.56072458,0.248684626,7.057310095,-377.3507257,0.271119536
day1 00:25,,,1.79243286,0.247533059,6.781042934,-377.5594364,0.271389065
day1 00:30,,,1.317191797,0.25899075,6.826658228,-378.9223474,0.277629656
day1 00:35,,,1.941315478,0.256689231,6.503288584,-387.2089075,0.278827256
day1 00:40,,,1.509351259,0.264136291,6.878663626,-385.2281866,0.274468094
day1 00:45,,,1.545598064,0.27034445,6.821270296,-370.3158606,0.282526477
day1 00:50,,,1.723582243,0.267257688,7.037582114,-403.0791624,0.281328238
day1 00:55,,,1.528023162,0.280627633,6.941771796,-370.964129,0.282368679
day1 01:00,,,1.477246489,0.281007026,6.859085774,-378.4697642,0.277658412
day1 01:05,,,1.051433318,0.274403383,6.724381802,-404.5911465,0.30294888
day1 01:10,,,1.330596566,0.274359385,6.833449243,-357.1051033,0.299946447
day1 01:15,,,1.545516135,0.277614257,6.846437195,-362.5655192,0.297907341
day1 01:20,,,1.199775145,0.262627525,6.893794278,-362.0220717,0.307732167
day1 01:25,,,1.366576656,0.251630424,6.800647112,-356.0284766,0.305665884
day1 01:30,,,1.123959368,0.245273574,6.878846713,-353.4768398,0.295894401
day1 01:35,,,1.557054715,0.242516707,7.358231612,-385.1078572,0.318579734
day1 01:40,,,1.687286519,0.236255838,7.031268183,-355.2521643,0.318242397
day1 01:45,,,1.239572153,0.234202412,6.947866621,-330.8430754,0.31999911
day1 01:50,,,0.896532843,0.232873176,6.780783676,-336.7870875,0.313423956
day1 01:55,,,1.860164991,0.22129809,6.731173572,-329.9852409,0.31528892
day1 02:00,208.1683167,47.74245936,0.471790684,0.214054557,7.070604049,-324.1104378,0.332530572
day1 02:05,,,2.008791989,0.231454188,6.833990757,-321.7676866,0.333015704
day1 02:10,,,1.762779885,0.219597251,6.961805948,-330.9409186,0.341209556
day1 02:15,,,0.930931245,0.225182696,6.912880898,-333.2381377,0.335375718
day1 02:20,,,0.955310588,0.224016119,6.797956088,-331.4040973,0.353650511
day1 02:25,,,1.619774717,0.225454789,6.826039726,-336.1412969,0.332455749
day1 02:30,,,0.793253355,0.229511942,6.88784508,-343.4302545,0.339188928
day1 02:35,,,1.463315702,0.231819129,6.83350465,-333.6015092,0.341630561
day1 02:40,,,1.668117548,0.236978867,6.800957917,-350.0287248,0.312264099
day1 02:45,,,2.195482201,0.226510655,6.695858774,-343.5304848,0.345098517
day1 02:50,,,1.641240266,0.239520908,6.905036139,-347.9778489,0.338730843
day1 02:55,,,1.778500138,0.245516334,6.908072216,-364.3732907,0.343710243
day1 03:00,,,1.623807994,0.244139817,6.871796995,-364.274442,0.346799137
day1 03:05,,,2.169234899,0.248464523,6.736603118,-351.8096899,0.334983889
day1 03:10,,,2.504220693,0.249585315,6.8432275,-365.845279,0.346668929
day1 03:15,,,1.709371957,0.267472259,6.730835194,-353.2762708,0.335960693
day1 03:20,,,1.655843361,0.259502031,6.553377048,-356.349972,0.320121989
day1 03:25,,,1.047949408,0.259467936,6.656079392,-361.5114071,0.32923086
day1 03:30,,,2.055189482,0.264245997,6.483198412,-363.7412095,0.333588248
day1 03:35,,,1.354579316,0.272210128,7.061801742,-365.9660944,0.328457634
day1 03:40,,,0.594442906,0.272529048,6.908483641,-362.9443656,0.310812218
day1 03:45,,,1.722299897,0.293310621,6.971757881,-370.6614087,0.316718169
day1 03:50,,,0.739128357,0.278510155,7.023038663,-367.1952184,0.325407147
day1 03:55,,,1.938560161,0.269589382,6.859870699,-368.1973883,0.313666255
day1 04:00,212.3134468,47.96987389,1.428559464,0.283838993,7.077759602,-343.9807158,0.316899054
day1 04:05,,,1.653673673,0.285366781,6.903097958,-370.4908358,0.313322329
day1 04:10,,,1.752611566,0.276518231,6.775524026,-389.0041195,0.319432952
day1 04:15,,,0.996924647,0.271812353,6.896784441,-364.0408631,0.311977371
day1 04:20,,,1.666695349,0.257165303,6.933316692,-358.8220073,0.316613256
day1 04:25,,,1.067581234,0.264108763,7.062802012,-354.7597518,0.333594524
day1 04:30,,,1.434769164,0.259405625,6.977120247,-325.9761993,0.317774878
day1 04:35,,,0.713655765,0.243700147,7.323672951,-349.0425926,0.321293797
day1 04:40,,,1.008957043,0.250586959,7.105860019,-344.6050728,0.319780796
day1 04:45,,,1.300113255,0.236032731,7.088013098,-330.2587867,0.314533602
day1 04:50,,,0.922685848,0.232220707,6.745104655,-329.9055441,0.331240121
day1 04:55,,,1.078412108,0.237186001,6.910019668,-328.7661021,0.327148617
day1 05:00,,,1.440706017,0.227346169,6.877131905,-335.1555867,0.331441865
day1 05:05,,,1.946144626,0.227508083,7.173317382,-332.7978778,0.32774308
day1 05:10,,,1.962845128,0.229244973,6.937514228,-342.0087017,0.320234344
day1 05:15,,,2.014234656,0.231093849,6.805157385,-357.4383178,0.320418599
day1 05:20,,,1.305903194,0.233096678,7.08642946,-348.621169,0.317453692
day1 05:25,,,0.781118164,0.235588821,6.937361481,-357.9479283,0.280774277
day1 05:30,,,1.434575314,0.24019653,6.963328637,-360.9092903,0.312301311
day1 05:35,,,1.969129071,0.242626883,6.339322918,-346.6957541,0.310055929
day1 05:40,,,1.126365025,0.241196685,7.043480129,-369.2028113,0.316033787
day1 05:45,,,1.256898733,0.244449134,6.995144346,-375.7848744,0.298881486
day1 05:50,,,1.373726349,0.247463799,6.875670607,-373.811473,0.297167288
day1 05:55,,,1.745001248,0.246906231,7.173778848,-393.644841,0.30034006
day1 06:00,221.8807155,46.18044038,2.084915736,0.255784212,6.857688791,-393.685793,0.281313593
day1 06:05,,,0.215280844,0.24732875,6.738219955,-394.4292673,0.275987718
day1 06:10,,,1.158071778,0.252191946,6.790309889,-393.0361414,0.285567368
day1 06:15,,,1.202802592,0.255126218,6.938665966,-379.7278605,0.261453535
day1 06:20,,,0.891754824,0.257376556,6.877694713,-386.6215506,0.259241012
day1 06:25,,,1.279467454,0.256697626,6.805343766,-381.9668035,0.266176523
day1 06:30,,,1.439039958,0.254339587,6.828763778,-382.8462776,0.238001193
day1 06:35,,,1.211967,0.261576344,6.604535909,-371.6748386,0.229188215
day1 06:40,,,1.254374308,0.258555566,7.359099199,-370.6064321,0.219523197
day1 06:45,,,1.228445398,0.254097933,6.402323531,-364.6039575,0.214441377
day1 06:50,,,1.168912321,0.264562929,6.500140312,-365.9628951,0.205119232
day1 06:55,,,1.487956578,0.261004834,7.230755916,-355.4870355,0.196687332
day1 07:00,,,0.014044203,0.260372032,6.243539847,-362.5000575,0.18426177
day1 07:05,,,0.642891329,0.275680216,6.394153375,-372.4796624,0.19771043
day1 07:10,,,0.947416094,0.276608114,6.842302679,-365.6002128,0.19607371
day1 07:15,,,1.253777524,0.286570792,6.965403629,-368.4320125,0.195997735
day1 07:20,,,1.404415661,0.295855347,6.791455319,-384.4837899,0.199263259
day1 07:25,,,0.975433622,0.301519317,6.813313157,-384.8024364,0.205258983
day1 07:30,,,0.926809975,0.289262342,6.996566907,-356.2701055,0.217120078
day1 07:35,,,1.355327684,0.310019187,6.731421977,-370.0409095,0.208373906
day1 07:40,,,1.764768787,0.313437267,7.118197047,-364.8326208,0.209483093
day1 07:45,,,2.190322416,0.330103713,6.862416134,-386.4981747,0.219047176
day1 07:50,,,1.243757991,0.331256967,6.90924707,-378.7360855,0.225947385
day1 07:55,,,1.707047289,0.328090984,6.890526223,-384.1274187,0.230437021
day1 08:00,207.3326288,50.02947463,1.016366603,0.348135271,6.724755618,-382.7966766,0.228779932
day1 08:05,,,0.2791165,0.334847948,6.88813409,-391.0136414,0.226209325
day1 08:10,,,1.418041543,0.331886719,6.688099752,-401.7530725,0.253197789
day1 08:15,,,2.151564351,0.328775093,6.945143448,-410.7930174,0.233782624
day1 08:20,,,0.868353991,0.323374883,6.474358265,-423.3974616,0.236202877
day1 08:25,,,1.419614551,0.328529798,6.842123221,-449.497411,0.230305445
day1 08:30,,,1.170211635,0.322252282,7.088105483,-429.3798556,0.222724692
day1 08:35,,,0.84624842,0.316918832,6.903449167,-464.2595949,0.23689985
day1 08:40,,,1.38202898,0.324701232,6.625065481,-458.0581032,0.238472841
day1 08:45,,,1.353003378,0.315577046,6.834154895,-470.5766498,0.245620872
day1 08:50,,,0.199459557,0.325213234,7.003436215,-467.7224323,0.238321997
day1 08:55,,,1.28674878,0.286765423,7.145243886,-485.5686985,0.239047658
day1 09:00,,,2.22410442,0.303777603,6.883993775,-494.2025795,0.238035481
day1 09:05,,,1.126541808,0.285935462,7.127611772,-474.8779309,0.238256138
day1 09:10,,,0.010213876,0.294041159,6.744546034,-483.4307988,0.231172143
day1 09:15,,,1.291151811,0.303222553,6.789765475,-465.9568567,0.234802973
day1 09:20,,,0.953341318,0.292585858,6.719053231,-476.6993288,0.229796346
day1 09:25,,,1.655012868,0.288211222,6.816159323,-472.6541157,0.214455189
day1 09:30,,,1.281701717,0.291309058,6.854314315,-464.4780584,0.22659428
day1 09:35,,,1.28282167,0.292581654,6.749936699,-453.5407579,0.229356874
day1 09:40,,,0.743531674,0.28944015,6.768027408,-451.5102581,0.222111166
day1 09:45,,,1.273198299,0.282855743,6.811891557,-451.9140298,0.218701252
day1 09:50,,,1.611561237,0.284198391,6.771464594,-433.1565879,0.210804486
day1 09:55,,,1.642670617,0.286908875,6.713309325,-440.8045219,0.215333956
day1 10:00,200.6687053,46.52721468,1.562929944,0.285242971,7.021319157,-434.1756154,0.208437231
day1 10:05,,,0.977320385,0.28690824,6.718451135,-425.4625503,0.211382306
day1 10:10,,,1.705357818,0.27760793,6.95364503,-444.6580548,0.211725295
day1 10:15,,,1.756663632,0.28476478,6.705799817,-426.4072306,0.213912109
day1 10:20,,,1.395202917,0.29344441,6.819774204,-425.5811156,0.216512876
day1 10:25,,,1.064398954,0.286553622,6.732990443,-431.3772292,0.216709517
day1 10:30,,,1.641652999,0.287045919,6.796796945,-425.9790716,0.212322034
day1 10:35,,,2.033963255,0.278430177,6.769852887,-426.3087749,0.225184732
day1 10:40,,,1.20449536,0.253968967,6.601646075,-425.7839889,0.208609197
day1 10:45,,,0.832203536,0.268342486,6.818812123,-424.138332,0.218262409
day1 10:50,,,1.99264266,0.270733447,6.83771999,-427.7248441,0.205398434
day1 10:55,,,0.825976746,0.267028866,6.799223939,-417.1553871,0.221663154
day1 11:00,,,1.918086392,0.256547489,6.813621739,-419.1126207,0.219126315
day1 11:05,,,0.357591349,0.263287376,6.753855891,-396.7394491,0.227746213
day1 11:10,,,0.566817444,0.268163295,6.929895733,-412.2443516,0.235010451
day1 11:15,,,1.475100338,0.272427297,6.720488666,-407.5737513,0.252580744
day1 11:20,,,1.378132493,0.262570028,7.044082624,-400.8071363,0.260769174
day1 11:25,,,1.429642313,0.270009157,6.774454274,-374.9007928,0.274034756
day1 11:30,,,1.57202222,0.27026794,6.985677857,-380.0182749,0.282346489
day1 11:35,,,2.101601832,0.263989206,6.864668956,-370.5823634,0.292489876
day1 11:40,,,1.587078866,0.270033031,6.816293357,-376.6919801,0.29777403
day1 11:45,,,2.713806713,0.268218255,6.851143064,-360.9131229,0.311155612
day1 11:50,,,2.726168409,0.276008133,6.879391285,-360.7037777,0.320206084
day1 11:55,,,2.36709135,0.269296315,6.830125509,-341.0359892,0.330234895
day1 12:00,204.8736007,53.22630374,1.703881503,0.258985106,6.79095328,-334.8730926,0.341655573
day1 12:05,,,0.575424557,0.269285185,6.878939638,-336.359854,0.350710857
day1 12:10,,,1.658549804,0.275839181,6.838767285,-333.5606562,0.366115499
day1 12:15,,,1.728463345,0.271055993,6.79260356,-351.6409417,0.361155599
day1 12:20,,,1.725010723,0.27160893,6.876904613,-332.1620564,0.378908985
day1 12:25,,,1.849482544,0.274303407,6.96230033,-333.7081253,0.397880703
day1 12:30,,,1.567195222,0.283928883,6.726019092,-328.3468844,0.410119892
day1 12:35,,,1.618402009,0.270777443,6.961031436,-329.2907638,0.415643504
day1 12:40,,,2.589868858,0.274096693,7.055688834,-329.0428594,0.429729123
day1 12:45,,,1.588848582,0.253200896,7.035891341,-331.9996925,0.392568822
day1 12:50,,,2.42807622,0.277339434,7.012303786,-311.7870599,0.458370786
day1 12:55,,,1.858519938,0.272985185,6.935717743,-321.6723316,0.467498239
day1 13:00,,,1.410519031,0.276526009,7.027728879,-337.301253,0.48565449
day1 13:05,,,0.653571251,0.279289229,7.12780719,-321.9633454,0.461672711
day1 13:10,,,2.159536821,0.284948918,7.053256748,-326.6999235,0.477978725
day1 13:15,,,3.177151557,0.295944121,7.188780653,-312.0466538,0.477504966
